"sample","dex","PC1","PC2"
"SRR1039508","control",-17.6079223540872,-10.2252519730149
"SRR1039509","treated",4.9967376114618,-7.23811740374732
"SRR1039512","control",-5.47445551978481,-8.11399310549898
"SRR1039513","treated",18.912973727415,-6.22604133941755
"SRR1039516","control",-14.7291728567307,16.2519998534386
"SRR1039517","treated",7.27986305510321,21.0080341613582
"SRR1039520","control",-9.65051797791279,-4.03852293785101
"SRR1039521","treated",16.2724943145356,-1.41810725526706
